Path Token Count,Average Domain Token,Entropy URL,Charcomp Vowels,Charcomp Ace,Path Url Ratio,Domain URL Ratio,Symbol Count URL,URL Type
12,5.5,0.67680361,15,7,0.7625,0.15,6,benign
12,5,0.715629029,12,8,0.6923077,0.21794872,7,benign
11,4,0.677700828,16,11,0.7605634,0.12676056,8,benign
7,4.5,0.696067358,15,10,0.734375,0.15625,5,benign
10,6,0.747201735,9,5,0.7058824,0.19117647,9,benign
10,5.5,0.73298104,15,11,0.7246377,0.17391305,4,benign
12,4.5,0.692383139,24,9,0.8172043,0.10752688,5,benign
11,3.5,0.70736522,15,6,0.7794118,0.11764706,4,benign
9,2.5,0.742606171,6,3,0.7903226,0.09677419,9,benign
13,4.5,0.734632558,16,9,0.82653064,0.10204082,7,benign
6,5.5,0.768631396,10,5,0.6415094,0.2264151,4,benign
9,5.5,0.719590962,22,17,0.8333333,0.10526316,10,benign
9,5.5,0.736740082,13,9,0.6984127,0.1904762,4,benign
19,4.5,0.653860678,30,14,0.8468468,0.09009009,6,benign
11,6,0.730438363,9,8,0.7222222,0.18055555,11,benign
7,4.5,0.812190144,9,4,0.6851852,0.18518518,6,benign
6,7,0.720204584,9,9,0.6,0.27272728,4,benign
9,8,0.680202894,16,9,0.6923077,0.21794872,4,benign
12,6.5,0.675061823,17,12,0.7529412,0.16470589,5,benign
9,2.6666667,0.699661858,13,6,0.6909091,0.18181819,6,benign
10,4.5,0.75224585,14,10,0.8229167,0.104166664,7,benign
13,3.5,0.671938369,19,12,0.8101266,0.101265825,4,benign
6,5,0.722594787,13,7,0.69491524,0.18644068,7,benign
16,3,0.6943338,20,14,0.8252427,0.106796116,7,benign
10,3.5,0.700725593,19,13,0.78571427,0.114285715,5,benign
11,5.5,0.738954588,13,4,0.739726,0.16438356,7,benign
17,3.5,0.625051699,24,17,0.85148513,0.07920792,4,benign
8,4,0.777507821,14,6,0.7894737,0.118421055,12,benign
8,5.5,0.723435308,12,8,0.7164179,0.17910448,6,benign
7,8,0.677765154,9,7,0.5555556,0.3148148,4,benign
16,4,0.670111462,31,21,0.86440676,0.076271184,10,benign
7,5,0.740119714,12,8,0.6666667,0.19298245,4,benign
11,7,0.687015349,12,10,0.74712646,0.1724138,12,benign
6,2.6666667,0.742539784,14,10,0.7118644,0.16949153,8,benign
3,4,0.730994007,5,3,0.71428573,0.16071428,4,benign
13,4.5,0.679941208,24,15,0.83,0.1,5,benign
12,6.5,0.703311011,16,8,0.77894735,0.14736842,7,benign
16,6,0.661647028,22,14,0.8148148,0.12037037,6,benign
11,5.5,0.684210048,18,12,0.77380955,0.14285715,4,benign
11,7,0.698191548,12,10,0.74712646,0.1724138,12,benign
10,5,0.788150815,10,7,0.74285716,0.15714286,9,benign
7,5.5,0.752729715,10,5,0.67241377,0.20689656,4,benign
7,7.5,0.735169088,14,8,0.67142856,0.22857143,4,benign
15,5.5,0.69147343,23,19,0.8652482,0.08510638,16,benign
13,5.5,0.706025587,18,13,0.85271317,0.093023255,14,benign
12,6,0.666489137,26,20,0.83739835,0.10569106,15,benign
10,4.3333335,0.633611049,25,15,0.752809,0.16853933,7,benign
8,5,0.783927061,8,4,0.69491524,0.18644068,12,benign
8,3.3333333,0.672988689,23,16,0.7654321,0.14814815,7,benign
16,2.5,0.674120623,23,12,0.8659794,0.06185567,4,benign
14,3.6666667,0.687318313,13,7,0.75609756,0.15853658,7,benign
16,2.5,0.712222162,22,16,0.8586956,0.06521739,6,benign
14,5.5,0.667646563,25,13,0.82568806,0.110091746,7,benign
8,5.5,0.714394168,11,6,0.7164179,0.17910448,6,benign
9,4.5,0.761579593,14,7,0.79518074,0.12048193,7,benign
7,4,0.688217401,15,10,0.70689654,0.15517241,6,benign
7,5,0.703253073,12,7,0.69491524,0.18644068,8,benign
9,8,0.702068524,11,8,0.6883117,0.22077923,5,benign
6,5.5,0.763007433,11,8,0.6481481,0.22222222,4,benign
15,5,0.639866715,24,21,0.82,0.11,7,benign
9,2.5,0.733323885,7,3,0.796875,0.09375,9,benign
5,7.5,0.738850597,10,7,0.54901963,0.3137255,4,benign
9,5.5,0.772406984,7,3,0.7285714,0.17142858,4,benign
8,5.5,0.759556722,8,5,0.6415094,0.2264151,4,benign
8,4.5,0.728451288,19,10,0.73913044,0.14492753,8,benign
9,4,0.733890493,16,6,0.81395346,0.10465116,14,benign
11,3,0.706407051,17,12,0.8271605,0.086419754,3,benign
14,3.5,0.641988846,22,10,0.8484849,0.08080808,5,benign
9,7,0.667388608,10,7,0.65625,0.234375,5,benign
8,5,0.738831787,7,3,0.69491524,0.18644068,12,benign
8,5,0.775857346,5,3,0.5714286,0.30357143,7,benign
7,5.5,0.783853754,7,2,0.6545454,0.21818182,5,benign
22,4.5,0.614135868,36,22,0.8835617,0.06849315,4,benign
6,4.3333335,0.631190341,15,8,0.65625,0.234375,6,benign
6,3.5,0.74642898,12,7,0.72727275,0.14545454,7,benign
8,2.6666667,0.668413157,27,16,0.7977528,0.11235955,6,benign
11,8,0.685530125,15,7,0.65217394,0.24637681,4,benign
9,6.5,0.735749389,9,5,0.6769231,0.21538462,8,benign
7,7,0.702631572,14,6,0.6666667,0.22727273,7,benign
7,5.5,0.694260973,17,13,0.71428573,0.17142858,8,benign
6,7,0.732808487,7,4,0.60714287,0.26785713,5,benign
7,2.6666667,0.71778163,17,10,0.73913044,0.14492753,6,benign
9,3,0.767122386,9,5,0.75438595,0.12280702,6,benign
15,4.5,0.662638412,31,18,0.8521739,0.08695652,5,benign
9,6,0.698858289,21,12,0.7647059,0.15294118,5,benign
9,5.5,0.768852917,10,7,0.72602737,0.16438356,6,benign
13,4.5,0.68605024,15,12,0.7875,0.125,5,benign
4,8.5,0.720719844,7,6,0.49019608,0.3529412,4,benign
11,7,0.721394706,16,12,0.721519,0.18987341,3,benign
16,3,0.659526425,25,12,0.8541667,0.072916664,5,benign
6,5.5,0.779759863,8,5,0.63461536,0.23076923,5,benign
7,6.5,0.770828403,10,6,0.60714287,0.25,5,benign
11,6,0.67050577,18,9,0.77011496,0.14942528,9,benign
14,5.5,0.689786177,19,8,0.7816092,0.13793103,4,benign
22,7,0.646526838,25,18,0.8382353,0.11029412,10,benign
6,4,0.743590067,14,7,0.7118644,0.15254237,5,benign
9,4,0.745106486,10,9,0.7241379,0.15517241,10,benign
8,6,0.755636476,13,4,0.6969697,0.1969697,5,benign
8,5.5,0.714364269,19,12,0.7625,0.15,3,benign
14,6.5,0.687524702,15,11,0.7741935,0.15053764,7,benign
7,3,0.759982989,4,3,0.7586207,0.12068965,7,benign
8,4.3333335,0.635007828,23,13,0.725,0.1875,6,benign
6,7.5,0.728473823,11,6,0.5740741,0.2962963,5,benign
7,4.5,0.758683563,9,4,0.71666664,0.16666667,7,benign
7,4.5,0.750852928,8,5,0.6851852,0.18518518,5,benign
16,7,0.644728603,26,16,0.7962963,0.1388889,4,benign
13,4.5,0.660115723,23,14,0.81914896,0.10638298,5,benign
5,3,0.746980958,12,13,0.7407407,0.12962963,5,benign
7,5.5,0.792794202,9,5,0.6779661,0.20338982,4,benign
7,7,0.706175203,12,5,0.6507937,0.23809524,5,benign
8,5.5,0.729682513,12,7,0.6935484,0.19354838,4,benign
8,3.5,0.787264867,9,4,0.7368421,0.14035088,9,benign
3,4,0.767386291,8,7,0.71428573,0.16071428,4,benign
9,3,0.750628697,12,4,0.76666665,0.11666667,6,benign
16,6.5,0.640936479,27,20,0.8090909,0.12727273,4,benign
7,5.5,0.758844705,10,6,0.63461536,0.23076923,4,benign
10,5.5,0.74302554,11,5,0.7285714,0.17142858,6,benign
5,8.5,0.760542868,12,6,0.5535714,0.32142857,4,benign
7,7,0.702517427,13,11,0.69863015,0.20547946,10,benign
5,7,0.797155463,7,3,0.6393443,0.24590164,7,benign
5,3.6666667,0.758361496,13,6,0.64912283,0.22807017,5,benign
14,6,0.661937376,19,7,0.78494626,0.13978495,5,benign
8,5,0.70889494,14,7,0.69491524,0.18644068,6,benign
11,5.5,0.748536621,12,8,0.7285714,0.17142858,4,benign
18,7,0.660610264,27,16,0.8135593,0.12711865,5,benign
14,6,0.678946231,14,9,0.75609756,0.15853658,5,benign
14,7,0.661968495,17,5,0.725,0.1875,4,benign
16,7,0.668597173,29,16,0.8211382,0.12195122,7,benign
11,5,0.642841455,18,17,0.7721519,0.1392405,7,benign
15,3,0.650401014,25,13,0.85858583,0.07070707,5,benign
17,6,0.659370809,23,10,0.79591835,0.13265306,6,benign
13,4,0.75491649,11,4,0.78205127,0.115384616,9,benign
14,3,0.698242743,16,11,0.84090906,0.07954545,4,benign
17,6,0.645535927,38,25,0.8518519,0.096296296,11,benign
10,5.5,0.687776319,18,9,0.7532467,0.15584415,4,benign
11,3.5,0.653782558,24,17,0.83146065,0.08988764,4,benign
11,7,0.69262649,14,12,0.74712646,0.1724138,12,benign
12,4.5,0.698391947,22,15,0.8021978,0.10989011,6,benign
12,6.5,0.711059225,13,6,0.7162162,0.1891892,7,benign
8,4,0.732852065,5,3,0.5882353,0.27450982,8,benign
14,7,0.680076287,20,12,0.78431374,0.14705883,5,benign
9,4.3333335,0.632458771,29,19,0.76842105,0.15789473,7,benign
11,6.5,0.669013057,16,10,0.70422536,0.1971831,5,benign
13,4.5,0.671099406,22,18,0.8396226,0.094339624,18,benign
18,4.5,0.668365173,29,20,0.85833335,0.083333336,5,benign
12,8,0.684321901,16,12,0.7126437,0.1954023,4,benign
7,4.5,0.795642224,8,5,0.6666667,0.19607843,6,benign
10,2.5,0.665673788,16,9,0.8243243,0.08108108,8,benign
14,5.5,0.687324673,29,20,0.8689655,0.08275862,15,benign
11,4.5,0.70974712,17,10,0.79761904,0.11904762,3,benign
9,5.5,0.719438982,11,6,0.6885246,0.19672132,5,benign
6,5.5,0.759322661,9,2,0.6545454,0.21818182,6,benign
11,6.5,0.70423366,15,12,0.7586207,0.16091955,5,benign
12,5.5,0.713397647,22,18,0.8503937,0.09448819,13,benign
8,3.5,0.76017382,9,8,0.7222222,0.14814815,7,benign
11,3.5,0.75491649,10,8,0.8076923,0.102564104,5,benign
16,8,0.607998901,20,5,0.7419355,0.1827957,4,benign
10,5.5,0.685605865,15,8,0.7361111,0.16666667,4,benign
7,4.5,0.810930412,9,7,0.70689654,0.1724138,6,benign
10,4,0.778303513,9,5,0.74603176,0.14285715,10,benign
13,4.5,0.690043509,16,11,0.8,0.11764706,5,benign
6,4,0.709008776,16,6,0.70689654,0.15517241,6,benign
9,4.5,0.754343794,8,3,0.6964286,0.17857143,7,benign
6,5.5,0.764611824,12,4,0.63461536,0.23076923,4,benign
9,5,0.685576391,19,14,0.76623374,0.14285715,4,benign
13,4.5,0.672850463,19,17,0.8068182,0.11363637,4,benign
9,3,0.738599488,17,12,0.78125,0.109375,5,benign
9,5.5,0.752620525,12,8,0.703125,0.1875,4,benign
7,4.5,0.800217531,7,3,0.6909091,0.18181819,7,benign
5,4.3333335,0.666517267,13,9,0.6,0.27272728,5,benign
12,8,0.655608074,14,8,0.6666667,0.2361111,4,benign
6,5.5,0.814812353,7,6,0.63461536,0.23076923,4,benign
19,6,0.630861792,22,15,0.8076923,0.125,6,benign
15,5.5,0.665570373,24,14,0.8020833,0.125,5,benign
6,5,0.732161656,10,10,0.64705884,0.21568628,8,benign
6,6.5,0.825699504,8,4,0.65,0.23333333,7,benign
16,3.6666667,0.603363882,41,20,0.8648649,0.08783784,6,benign
6,4.5,0.694131781,12,3,0.6909091,0.18181819,7,benign
12,5.5,0.724612349,18,8,0.76829267,0.14634146,4,benign
18,3,0.670061651,21,12,0.8487395,0.09243698,7,benign
6,7,0.682278185,16,9,0.69863015,0.20547946,4,benign
8,7,0.742118958,10,5,0.5686275,0.29411766,4,benign
11,7,0.726354872,26,16,0.8333333,0.11363637,15,benign
11,3.5,0.699106698,19,13,0.8125,0.1,4,benign
7,2.5,0.748160277,15,9,0.80597013,0.08955224,6,benign
13,8,0.615564503,28,16,0.7692308,0.16346154,6,benign
5,6,0.696870376,15,9,0.70149255,0.19402985,6,benign
9,4,0.735797468,12,4,0.76811594,0.13043478,4,benign
12,4,0.704227197,14,8,0.80246913,0.11111111,7,benign
5,7.5,0.716462798,11,8,0.5740741,0.2962963,5,benign
10,4.5,0.727098619,9,5,0.72131145,0.16393442,8,benign
12,6,0.65434189,26,20,0.8449612,0.1007752,15,benign
7,5.5,0.777903597,8,5,0.6481481,0.22222222,4,benign
10,6,0.74581985,7,3,0.6969697,0.1969697,9,benign
10,4,0.765070314,9,7,0.75,0.140625,10,benign
8,5.5,0.709473247,11,6,0.7164179,0.17910448,6,benign
7,5.5,0.69800011,13,10,0.6666667,0.2,6,benign
14,2.5,0.711193638,23,11,0.8586956,0.06521739,6,benign
10,5.5,0.746007903,12,6,0.739726,0.16438356,4,benign
18,6,0.631518247,34,18,0.83870965,0.10483871,4,benign
9,7,0.694730898,8,1,0.60714287,0.26785713,10,benign
14,8,0.664686744,26,13,0.7798165,0.1559633,6,benign
17,5.5,0.639186621,22,12,0.8118812,0.11881188,6,benign
7,4.5,0.776582495,8,4,0.7017544,0.1754386,7,benign
